book_name,book_old_price,book_price,sale_status,review_count,product_offer_bonus,url_book
Психология лидера (м) (8 изд) (полусупер) (16+/18+) Менегетти,2089,2089,canBuy,6,,https://www.chitai-gorod.ru/product/psihologiya-lidera-m-8-izd-polusuper-16-18-menegetti-2605358
Онтопсихологическая педагогика (3 изд) (ПрЧел) Менегетти (инт),1099,1099,canBuy,7,,https://www.chitai-gorod.ru/product/ontopsihologicheskaya-pedagogika-3-izd-prchel-menegetti-int-2476132
Онтопсихология практика и метафизика психотерапии (18+/16+) (м) Менегетти,1099,1099,canBuy,1,,https://www.chitai-gorod.ru/product/ontopsihologiya-praktika-i-metafizika-psihoterapii-18-16-m-menegetti-2601370
Психология лидера,2089,2089,canBuy,17,,https://www.chitai-gorod.ru/product/psihologiya-lidera-2836588
Мудрец и искусство жизни,759,759,canBuy,12,,https://www.chitai-gorod.ru/product/mudrec-i-iskusstvo-zhizni-2476138
Психосоматика,1779,890,canBuy,2,,https://www.chitai-gorod.ru/product/psihosomatika-7501776
Психосоматика,1779,1779,canBuy,21,,https://www.chitai-gorod.ru/product/psihosomatika-2501776
Введение в онтопсихологию,1149,1149,canBuy,7,,https://www.chitai-gorod.ru/product/vvedenie-v-ontopsihologiyu-2768745
Мужской стиль,1879,940,canBuy,,,https://www.chitai-gorod.ru/product/muzhskoy-stil-7476134
6 женщин и непорочное зачатие,759,380,canSubscribe,,,https://www.chitai-gorod.ru/product/6-zhenshchin-i-neporochnoe-zachatie-7486381
Практикум лидера,679,340,canSubscribe,,,https://www.chitai-gorod.ru/product/praktikum-lidera-7227161
Практикум лидера,679,679,canBuy,,,https://www.chitai-gorod.ru/product/praktikum-lidera-2227161
Молодежь и этика жизни,1989,995,canBuy,,,https://www.chitai-gorod.ru/product/molodezh-i-etika-zhizni-7588807
6 женщин и непорочное зачатие,759,759,canBuy,3,,https://www.chitai-gorod.ru/product/6-zhenshchin-i-neporochnoe-zachatie-2486381
Мужской стиль,1879,1879,canBuy,8,,https://www.chitai-gorod.ru/product/muzhskoy-stil-2476134
"Система и личность. 4-е издание, исправленное и дополненное",889,445,canSubscribe,,,https://www.chitai-gorod.ru/product/sistema-i-lichnost-4-e-izdanie-ispravlennoe-i-dopolnennoe-7476136
Мелочи жизни. Практика личной эффективности,1149,575,canBuy,,,https://www.chitai-gorod.ru/product/melochi-zhizni-praktika-lichnoy-effektivnosti-7768744
Проект Человек,2089,1045,canBuy,,,https://www.chitai-gorod.ru/product/proekt-chelovek-7487880
Мужской стиль в лидерстве и жизни,1989,1989,canBuy,11,,https://www.chitai-gorod.ru/product/muzhskoy-stil-v-liderstve-i-zhizni-2912831
Проект Человек,2089,2089,canBuy,7,,https://www.chitai-gorod.ru/product/proekt-chelovek-2487880
Практикум лидера (мБизнС) (полусупер) Менегетти,679,679,offline,,,https://www.chitai-gorod.ru/product/praktikum-lidera-mbizns-polusuper-menegetti-2610728
Введение в онтопсихологию (мВведение) Менегетти,889,889,offline,,,https://www.chitai-gorod.ru/product/vvedenie-v-ontopsihologiyu-mvvedenie-menegetti-2601369
Женский ум в проекте жизни (Менегетти),2089,2089,offline,5,,https://www.chitai-gorod.ru/product/zhenskiy-um-v-proekte-zhizni-menegetti-2616166
Бизнес-интуиция в свете открытий онтопсихологии,1879,1879,offline,,,https://www.chitai-gorod.ru/product/biznes-intuiciya-v-svete-otkrytiy-ontopsihologii-2704442
Мелочи жизни. Практика личной эффективности,1149,1149,offline,9,,https://www.chitai-gorod.ru/product/melochi-zhizni-praktika-lichnoy-effektivnosti-2768744
"Мир образов. Краткое пособие по интерпретации образов и сновидений. 5-е издание, исправленное и допоолненное",889,889,offline,2,,https://www.chitai-gorod.ru/product/mir-obrazov-kratkoe-posobie-po-interpretacii-obrazov-i-snovideniy-5-e-izdanie-ispravlennoe-i-dopoolnennoe-2487879
Cинемалогия для молодежи. Кино. Онтопсихологический подход,1459,1459,offline,7,,https://www.chitai-gorod.ru/product/cinemalogiya-dlya-molodezhi-kino-ontopsihologicheskiy-podhod-2768743
Женский ум в проекте жизни. 2 -е изд.,2089,2089,offline,11,,https://www.chitai-gorod.ru/product/zhenskiy-um-v-proekte-zhizni-2-e-izd-2476133
"Система и личность. 4-е издание, исправленное и дополненное",889,889,offline,,,https://www.chitai-gorod.ru/product/sistema-i-lichnost-4-e-izdanie-ispravlennoe-i-dopolnennoe-2476136
Онтопсихология и меметика (м) Менегетти,2199,2199,canSubscribe,1,,https://www.chitai-gorod.ru/product/ontopsihologiya-i-memetika-m-menegetti-2601368
